# ----------------------------------------
# 流量获取情况: 带来会话的主渠道组（默认渠道组）
# 账号：pixelcircle
# 媒体资源：pixelcircle.online
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260825
# 结束日期：20260921
带来会话的主渠道组（默认渠道组）,会话数,感兴趣的会话数,感兴趣的会话占比,每次会话的平均互动时长,每次会话的事件数,事件数,关键事件数,会话关键事件率,总收入
Direct,86,49,0.5697674418604651,14.523255813953488,6.104651162790698,525,0,0,0
Organic Search,68,51,0.75,58.75,11.279411764705882,767,0,0,0
Referral,4,2,0.5,26.5,6.75,27,0,0,0
Unassigned,4,0,0,22.75,4.25,17,0,0,0
AI Assistant,3,3,1,268.3333333333333,38.333333333333336,115,0,0,0
