# ----------------------------------------
# 用户获取情况: 带来用户首次互动的主渠道组（默认渠道组）
# 账号：pixelcircle
# 媒体资源：pixelcircle.online
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260813
# 结束日期：20260909
带来用户首次互动的主渠道组（默认渠道组）,用户总数,新用户数,回访用户数,每位活跃用户的平均互动时长,每位活跃用户的感兴趣会话数,事件数,关键事件数,用户关键事件率
Direct,65,64,3,9.523076923076923,0.6461538461538462,358,0,0
Organic Search,16,16,2,49,0.875,205,0,0
Referral,3,3,1,35.333333333333336,0.6666666666666666,27,0,0
Unassigned,3,0,0,79.33333333333333,0,64,0,0
AI Assistant,2,2,1,402.5,1.5,115,0,0
Cross-network,1,1,0,70,1,19,0,0
