# ----------------------------------------
# 流量获取情况: 带来会话的主渠道组（默认渠道组）
# 账号：pixelcircle
# 媒体资源：pixelcircle.online
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260813
# 结束日期：20260909
带来会话的主渠道组（默认渠道组）,会话数,感兴趣的会话数,感兴趣的会话占比,每次会话的平均互动时长,每次会话的事件数,事件数,关键事件数,会话关键事件率,总收入
Direct,71,42,0.5915492957746479,8.633802816901408,5.028169014084507,357,0,0,0
Organic Search,22,14,0.6363636363636364,35.63636363636363,9.318181818181818,205,0,0,0
Referral,4,2,0.5,26.5,6.75,27,0,0,0
Unassigned,4,0,0,61,16.25,65,0,0,0
AI Assistant,3,3,1,268.3333333333333,38.333333333333336,115,0,0,0
Cross-network,1,1,1,70,19,19,0,0,0
