# ----------------------------------------
# 流量获取情况: 带来会话的主渠道组（默认渠道组）
# 账号：pixelcircle
# 媒体资源：pixelcircle.online
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260805
# 结束日期：20260901
带来会话的主渠道组（默认渠道组）,会话数,感兴趣的会话数,感兴趣的会话占比,每次会话的平均互动时长,每次会话的事件数,事件数,关键事件数,会话关键事件率,总收入
Direct,52,30,0.5769230769230769,8.307692307692308,4.634615384615385,241,0,0,0
Organic Search,10,4,0.4,15,6.4,64,0,0,0
Referral,4,2,0.5,26.5,6.75,27,0,0,0
Unassigned,4,0,0,33.25,4.5,18,0,0,0
AI Assistant,2,2,1,162.5,32.5,65,0,0,0
